,date,pm25,o3,no2,co
1282,2020-11-25,34.0,22.285714285714285,13.0,2.0
1283,2020-11-26,34.0,22.928571428571427,13.5,2.0
1284,2020-11-27,37.0,23.571428571428573,14.0,2.0
1285,2020-11-28,32.0,24.214285714285715,14.5,2.0
1286,2020-11-29,41.0,24.857142857142858,15.0,2.0
1287,2020-11-30,39.0,25.5,15.5,2.0
1288,2020-12-01,34.0,26.142857142857142,16.0,2.0
1289,2020-12-02,29.0,26.785714285714285,16.5,2.0
1290,2020-12-03,36.0,27.42857142857143,17.0,2.0
1291,2020-12-04,41.0,28.071428571428573,17.5,2.0
1292,2020-12-05,25.0,28.714285714285715,18.0,2.0
1293,2020-12-06,21.0,29.357142857142858,18.5,2.0
1294,2020-12-07,27.0,30.0,19.0,2.0
1295,2020-12-08,23.0,30.642857142857142,19.5,2.0
1296,2020-12-09,47.0,31.285714285714285,20.0,2.0
1297,2020-12-10,45.0,31.92857142857143,19.653846153846153,2.0
1298,2020-12-11,63.0,32.57142857142857,19.307692307692307,2.0
1299,2020-12-12,67.0,33.214285714285715,18.96153846153846,2.0
1300,2020-12-13,54.0,33.85714285714286,18.615384615384617,2.0
1301,2020-12-14,34.0,34.5,18.26923076923077,2.0
1302,2020-12-15,33.0,35.142857142857146,17.923076923076923,2.0
1303,2020-12-16,40.0,35.785714285714285,17.576923076923077,2.0
1304,2020-12-17,34.0,36.42857142857143,17.23076923076923,2.0
1305,2020-12-18,45.0,37.07142857142857,16.884615384615383,2.0
1306,2020-12-19,45.0,37.714285714285715,16.53846153846154,2.0
1307,2020-12-20,49.0,38.35714285714286,16.192307692307693,2.0
1308,2020-12-21,56.0,39.0,15.846153846153847,2.0
1309,2020-12-22,54.0,39.642857142857146,15.5,2.0
1310,2020-12-23,39.0,40.285714285714285,15.153846153846153,2.0
1311,2020-12-24,47.0,40.92857142857143,14.807692307692308,2.0
1312,2020-12-25,44.0,41.57142857142857,14.461538461538462,2.0
1313,2020-12-26,42.0,42.214285714285715,14.115384615384615,2.0
1314,2020-12-27,49.0,42.85714285714286,13.76923076923077,2.0
1315,2020-12-28,48.0,43.5,13.423076923076923,2.0
1316,2020-12-29,42.0,44.142857142857146,13.076923076923077,2.0
1317,2020-12-30,31.0,44.785714285714285,12.730769230769232,2.0
1318,2020-12-31,51.0,45.42857142857143,12.384615384615385,2.0
1319,2021-01-01,51.0,46.07142857142858,12.038461538461538,2.0
1320,2021-01-02,40.0,46.714285714285715,11.692307692307693,2.0
1321,2021-01-03,43.0,47.35714285714286,11.346153846153847,2.0
1322,2020-07-01,31.0,48.0,11.0,2.0
1323,2020-07-02,33.0,46.0,8.0,2.0
1325,2020-07-04,55.0,55.0,6.0,2.0
1326,2020-07-05,63.0,57.0,14.0,2.0
1337,2020-07-16,6.0,25.571428571428573,11.0,2.0
1338,2020-07-17,31.0,29.142857142857142,11.2,2.0
1339,2020-07-18,51.0,32.714285714285715,11.4,2.0
1340,2020-07-19,57.0,36.285714285714285,11.6,2.0
1341,2020-07-20,44.0,39.85714285714286,11.8,2.0
1342,2020-07-21,38.0,43.42857142857143,12.0,2.0
1343,2020-07-22,62.0,47.0,10.666666666666666,2.0
1344,2020-07-23,46.0,29.0,9.333333333333334,2.0
1345,2020-07-24,28.0,62.0,8.0,2.0
1349,2020-07-28,36.0,55.0,5.25,2.0
1350,2020-07-29,26.0,59.0,6.5,2.0
1351,2020-07-30,37.0,41.0,7.75,2.0
1352,2020-07-31,26.0,53.0,9.0,2.0
1356,2020-08-04,54.0,41.0,14.0,2.0
1359,2020-08-07,46.0,39.0,12.6,2.0
1360,2020-08-08,29.0,46.0,12.133333333333333,2.0
1361,2020-08-09,39.0,68.0,11.666666666666666,2.0
1362,2020-08-10,59.0,38.0,11.2,2.0
1363,2020-08-11,55.0,60.0,10.733333333333333,2.0
1364,2020-08-12,56.0,32.0,10.266666666666666,2.0
1365,2020-08-13,44.0,41.0,9.8,2.0
1366,2020-08-14,27.0,29.0,9.333333333333334,2.0
1372,2020-08-20,17.0,42.0,7.538461538461538,2.0
1373,2020-08-21,39.0,40.0,8.076923076923077,2.0
1374,2020-08-22,46.0,34.0,8.615384615384615,2.0
1375,2020-08-23,35.0,44.0,9.153846153846153,2.0
1376,2020-08-24,33.0,42.0,9.692307692307692,2.0
1377,2020-08-25,41.0,22.0,10.23076923076923,2.0
1384,2020-09-01,21.0,21.0,14.0,2.0
1385,2020-09-02,25.0,21.11111111111111,9.5,2.0
1386,2020-09-03,34.0,21.22222222222222,5.0,2.0
1387,2020-09-04,26.0,21.333333333333332,5.0,2.0
1388,2020-09-05,13.0,21.444444444444443,5.0,2.0
1389,2020-09-06,28.0,21.555555555555557,5.125,2.0
1390,2020-09-07,25.0,21.666666666666668,5.25,2.0
1391,2020-09-08,33.0,21.77777777777778,5.375,2.0
1392,2020-09-09,31.0,21.88888888888889,5.5,2.0
1395,2020-09-12,12.0,22.0,5.875,2.0
1399,2020-09-16,21.0,23.142857142857142,17.4,2.0
1400,2020-09-17,32.0,24.285714285714285,16.8,2.0
1401,2020-09-18,28.0,25.428571428571427,16.2,2.0
1402,2020-09-19,9.0,26.57142857142857,15.6,2.0
1403,2020-09-20,10.0,27.714285714285715,15.0,2.0
1404,2020-09-21,16.0,28.857142857142858,17.0,2.0
1408,2020-09-25,70.0,30.0,14.714285714285715,2.0
1409,2020-09-26,37.0,26.0,14.142857142857142,2.0
1411,2020-09-28,23.0,17.0,13.0,2.0
1412,2020-09-29,29.0,18.0625,10.666666666666666,2.0
1413,2020-09-30,20.0,19.125,8.333333333333332,2.0
1414,2020-04-01,20.0,20.1875,6.0,2.0
1415,2020-04-02,14.0,21.25,6.0,2.0
1416,2020-04-03,13.0,22.3125,8.0,2.0
1417,2020-04-04,14.0,23.375,19.0,2.0
1418,2020-04-05,41.0,24.4375,9.0,2.0
1419,2020-04-06,25.0,25.5,12.0,2.0
1420,2020-04-07,27.0,26.5625,16.0,2.0
1421,2020-04-08,41.0,27.625,12.0,2.0
1422,2020-04-09,24.0,28.6875,6.0,2.0
1423,2020-04-10,20.0,29.75,7.0,2.0
1424,2020-04-11,26.0,30.8125,16.0,2.0
1425,2020-04-12,39.0,31.875,7.0,2.0
1426,2020-04-13,29.0,32.9375,8.0,2.0
1427,2020-04-14,15.0,34.0,7.0,2.0
1429,2020-04-16,25.0,36.0,12.0,2.0
1430,2020-04-17,24.0,31.0,10.0,2.0
1431,2020-04-18,22.0,40.0,12.0,2.0
1432,2020-04-19,38.0,32.0,13.0,2.0
1434,2020-04-21,20.0,31.0,10.333333333333334,2.0
1435,2020-04-22,13.0,25.0,12.666666666666668,2.0
1436,2020-04-23,22.0,22.0,15.0,2.0
1437,2020-04-24,20.0,12.0,17.0,2.0
1438,2020-04-25,33.0,15.5,7.0,2.0
1439,2020-04-26,16.0,19.0,8.0,2.0
1440,2020-04-27,8.0,22.5,10.0,2.0
1441,2020-04-28,17.0,26.0,13.0,2.0
1442,2020-04-29,22.0,29.5,8.0,2.0
1443,2020-04-30,19.0,33.0,16.0,2.0
1445,2020-05-02,17.0,43.0,9.0,2.0
1449,2020-05-06,19.0,37.0,9.0,2.0
1450,2020-05-07,18.0,37.666666666666664,11.0,2.0
1451,2020-05-08,17.0,38.333333333333336,5.0,2.0
1457,2020-05-14,33.0,46.0,16.0,2.0
1460,2020-05-17,9.0,38.0,11.0,2.0
1461,2020-05-18,14.0,34.0,8.0,2.0
1462,2020-05-19,17.0,34.0,10.0,2.0
1463,2020-05-20,12.0,30.0,10.0,2.0
1464,2020-05-21,23.0,31.0,15.0,2.0
1465,2020-05-22,29.0,31.0,6.0,2.0
1466,2020-05-23,14.0,31.0,4.0,2.0
1467,2020-05-24,24.0,27.0,6.0,2.0
1468,2020-05-25,23.0,23.0,14.0,2.0
1469,2020-05-26,35.0,24.666666666666668,10.0,2.0
1470,2020-05-27,6.0,26.333333333333332,4.0,2.0
1471,2020-05-28,15.0,28.0,7.0,2.0
1472,2020-05-29,19.0,29.666666666666668,6.0,2.0
1473,2020-05-30,21.0,31.333333333333332,5.0,2.0
1474,2020-05-31,9.0,33.0,4.0,2.0
1475,2020-06-01,11.0,42.0,16.0,2.0
1476,2020-06-02,24.0,44.0,9.0,2.0
1477,2020-06-03,44.0,53.0,13.0,2.0
1478,2020-06-04,40.0,38.0,10.0,2.0
1479,2020-06-05,37.0,50.0,8.0,2.0
1480,2020-06-06,26.0,31.0,3.0,2.0
1482,2020-06-08,18.0,61.0,15.0,2.0
1485,2020-06-11,35.0,46.0,14.0,2.0
1492,2020-06-18,16.0,14.5,7.666666666666667,2.0
1493,2020-06-19,22.0,19.0,8.333333333333334,2.0
1494,2020-06-20,42.0,23.5,9.0,2.0
1495,2020-06-21,29.0,28.0,10.666666666666666,2.0
1496,2020-06-22,23.0,32.5,12.333333333333334,2.0
1500,2020-06-26,38.0,38.0,16.0,2.0
1504,2020-06-30,17.0,46.0,7.0,2.0
1507,2020-01-03,66.0,55.32876712328767,21.0,2.0
1508,2020-01-04,57.0,58.43835616438356,7.0,2.0
1509,2020-01-05,40.0,61.54794520547945,22.0,2.0
1510,2020-01-06,52.0,64.65753424657534,23.0,2.0
1511,2020-01-07,49.0,67.76712328767124,15.0,2.0
1512,2020-01-08,49.0,70.87671232876713,17.0,2.0
1514,2020-01-10,51.0,77.0958904109589,22.0,2.0
1515,2020-01-11,53.0,80.20547945205479,7.0,2.0
1516,2020-01-12,46.0,83.31506849315069,17.0,2.0
1517,2020-01-13,49.0,86.42465753424658,21.0,2.0
1518,2020-01-14,42.0,89.53424657534246,20.0,2.0
1519,2020-01-15,58.0,92.64383561643835,12.0,2.0
1520,2020-01-16,46.0,95.75342465753425,9.0,2.0
1521,2020-01-17,42.0,98.86301369863014,22.0,2.0
1522,2020-01-18,32.0,101.97260273972603,11.0,2.0
1523,2020-01-19,42.0,105.08219178082192,10.0,2.0
1524,2020-01-20,35.0,108.1917808219178,17.0,2.0
1665,2019-07-16,45.0,62.0,17.0,2.0
1666,2019-07-17,55.0,25.0,14.0,2.0
1667,2019-07-18,42.0,57.0,11.0,2.0
1668,2019-07-19,52.0,42.0,10.0,2.0
1669,2019-07-20,57.0,36.0,8.0,2.0
1670,2019-07-21,54.0,42.0,13.0,2.0
1671,2019-07-22,34.0,23.0,12.0,2.0
1673,2019-07-24,31.0,15.892857142857142,13.0,2.0
1674,2019-07-25,42.0,16.785714285714285,17.0,2.0
1675,2019-07-26,46.0,17.678571428571427,17.0,2.0
1676,2019-07-27,49.0,18.571428571428573,8.0,2.0
1677,2019-07-28,65.0,19.464285714285715,11.0,2.0
1681,2019-08-01,40.0,23.035714285714285,19.0,2.0
1682,2019-08-02,43.0,23.92857142857143,9.0,2.0
1683,2019-08-03,34.0,24.821428571428573,9.0,2.0
1684,2019-08-04,37.0,25.714285714285715,11.0,2.0
1685,2019-08-05,38.0,26.607142857142858,13.0,2.0
1686,2019-08-06,46.0,27.5,15.0,2.0
1687,2019-08-07,45.0,28.392857142857142,11.0,2.0
1688,2019-08-08,47.0,29.285714285714285,10.0,2.0
1689,2019-08-09,33.0,30.17857142857143,6.0,2.0
1690,2019-08-10,18.0,31.071428571428573,6.0,2.0
1691,2019-08-11,21.0,31.964285714285715,15.0,2.0
1692,2019-08-12,37.0,32.85714285714286,16.0,2.0
1693,2019-08-13,55.0,33.75,14.0,2.0
1694,2019-08-14,69.0,34.642857142857146,11.0,2.0
1695,2019-08-15,53.0,35.535714285714285,12.0,2.0
1696,2019-08-16,24.0,36.42857142857143,11.0,2.0
1697,2019-08-17,16.0,37.32142857142857,13.0,2.0
1698,2019-08-18,26.0,38.214285714285715,22.0,2.0
1699,2019-08-19,29.0,39.10714285714286,17.0,2.0
1700,2019-08-20,26.0,40.0,7.0,2.0
1701,2019-08-21,30.0,49.0,13.0,2.0
1702,2019-08-22,35.0,24.0,18.0,2.0
1707,2019-08-27,25.0,7.0,10.0,2.0
1708,2019-08-28,22.0,9.0,7.0,2.0
1709,2019-08-29,22.0,11.0,16.0,2.0
1710,2019-08-30,40.0,13.0,6.0,2.0
1711,2019-08-31,23.0,15.0,5.0,2.0
1712,2019-09-01,20.0,17.0,7.0,2.0
1713,2019-09-02,27.0,19.0,9.0,2.0
1714,2019-09-03,39.0,21.0,12.0,2.0
1715,2019-09-04,44.0,23.0,8.0,2.0
1716,2019-09-05,23.0,25.0,9.0,2.0
1717,2019-09-06,13.0,27.0,6.0,2.0
1718,2019-09-07,27.0,29.0,8.0,2.0
1719,2019-09-08,41.0,31.0,10.0,2.0
1720,2019-09-09,23.0,33.0,13.0,2.0
1722,2019-09-11,44.0,27.0,10.0,2.0
1726,2019-09-15,30.0,28.0,18.0,2.0
1728,2019-09-17,19.0,29.833333333333332,18.0,2.0
1729,2019-09-18,21.0,28.666666666666668,18.0,2.0
1730,2019-09-19,26.0,27.5,18.0,2.0
1731,2019-09-20,46.0,26.333333333333332,18.0,2.0
1732,2019-09-21,55.0,25.166666666666668,18.0,2.0
1733,2019-09-22,60.0,24.0,18.0,2.0
1735,2019-09-24,20.0,31.0,14.0,2.0
1736,2019-09-25,35.0,32.0,12.0,2.0
1738,2019-09-27,25.0,37.0,6.0,2.0
1739,2019-09-28,38.0,29.0,7.0,2.0
1742,2019-10-01,33.0,44.0,13.0,2.0
1945,2018-10-17,28.0,94.54999999999998,4.75,2.0
1946,2018-10-18,19.0,70.69999999999997,4.5,2.0
1947,2018-10-19,29.0,46.84999999999997,4.25,2.0
1949,2018-10-21,23.0,17.0,18.0,2.0
1950,2018-10-22,27.0,24.0,13.0,2.0
1953,2018-10-25,22.0,19.0,16.0,2.0
1955,2018-10-27,16.0,25.384615384615383,3.4615384615384617,2.0
1956,2018-10-28,22.0,24.76923076923077,3.9230769230769234,2.0
1957,2018-10-29,31.0,24.153846153846153,4.384615384615385,2.0
1958,2018-10-30,42.0,23.53846153846154,4.846153846153847,2.0
1959,2018-10-31,52.0,22.923076923076923,5.3076923076923075,2.0
1960,2018-11-01,59.0,22.307692307692307,5.769230769230769,2.0
1961,2018-11-02,35.0,21.692307692307693,6.230769230769231,2.0
1962,2018-11-03,28.0,21.076923076923077,6.6923076923076925,2.0
1963,2018-11-04,24.0,20.46153846153846,7.153846153846154,2.0
1964,2018-11-05,20.0,19.846153846153847,7.615384615384616,2.0
1965,2018-11-06,32.0,19.23076923076923,8.076923076923077,2.0
1966,2018-11-07,39.0,18.615384615384613,8.538461538461538,2.0
1969,2018-11-10,26.0,23.0,13.0,2.0
1974,2018-11-15,17.0,22.428571428571427,9.428571428571429,2.0
1975,2018-11-16,37.0,22.857142857142858,8.857142857142858,2.0
1976,2018-11-17,46.0,23.285714285714285,8.285714285714286,2.0
1977,2018-11-18,24.0,23.714285714285715,7.714285714285714,2.0
1978,2018-11-19,57.0,24.142857142857142,7.142857142857143,2.0
1979,2018-11-20,44.0,24.571428571428573,6.571428571428571,2.0
1981,2018-11-22,24.0,17.0,20.0,2.0
1983,2018-11-24,33.0,24.0,15.0,2.0
1985,2018-11-26,33.0,14.0,11.0,2.0
1986,2018-11-27,19.0,12.0,11.0,2.0
1987,2018-11-28,27.0,13.705882352941176,11.147058823529411,2.0
1988,2018-11-29,30.0,15.411764705882353,11.294117647058824,2.0
1989,2018-11-30,41.0,17.11764705882353,11.441176470588236,2.0
1990,2018-12-01,41.0,18.823529411764707,11.588235294117647,2.0
1991,2018-12-02,37.0,20.52941176470588,11.735294117647058,2.0
1992,2018-12-03,34.0,22.235294117647058,11.882352941176471,2.0
1993,2018-12-04,31.0,23.941176470588236,12.029411764705882,2.0
1994,2018-12-05,30.0,25.647058823529413,12.176470588235293,2.0
1995,2018-12-06,40.0,27.352941176470587,12.323529411764707,2.0
1996,2018-12-07,42.0,29.058823529411764,12.470588235294118,2.0
1997,2018-12-08,39.0,30.764705882352942,12.617647058823529,2.0
1998,2018-12-09,36.0,32.470588235294116,12.764705882352942,2.0
1999,2018-12-10,44.0,34.17647058823529,12.911764705882353,2.0
2000,2018-12-11,51.0,35.88235294117647,13.058823529411764,2.0
2001,2018-12-12,56.0,37.588235294117645,13.205882352941176,2.0
2002,2018-12-13,49.0,39.294117647058826,13.352941176470589,2.0
2003,2018-12-14,45.0,41.0,13.5,2.0
2004,2018-12-15,57.0,42.705882352941174,13.647058823529411,2.0
2005,2018-12-16,33.0,44.411764705882355,13.794117647058824,2.0
2006,2018-12-17,32.0,46.11764705882353,13.941176470588236,2.0
2007,2018-12-18,34.0,47.8235294117647,14.088235294117647,2.0
2008,2018-12-19,43.0,49.529411764705884,14.23529411764706,2.0
2009,2018-12-20,49.0,51.23529411764706,14.382352941176471,2.0
2010,2018-12-21,46.0,52.94117647058823,14.529411764705882,2.0
2011,2018-12-22,44.0,54.64705882352941,14.676470588235293,2.0
2012,2018-12-23,38.0,56.35294117647059,14.823529411764707,2.0
2013,2018-12-24,45.0,58.05882352941176,14.970588235294118,2.0
2014,2018-12-25,36.0,59.76470588235294,15.117647058823529,2.0
2015,2018-12-26,49.0,61.470588235294116,15.264705882352942,2.0
2016,2018-12-27,48.0,63.17647058823529,15.411764705882353,2.0
2017,2018-12-28,38.0,64.88235294117646,15.558823529411764,2.0
2018,2018-12-29,35.0,66.58823529411765,15.705882352941178,2.0
2019,2018-12-30,42.0,68.29411764705883,15.852941176470589,2.0
2026,2018-07-07,9.0,26.75,6.8,2.0
2027,2018-07-08,22.0,25.5,7.6,2.0
2028,2018-07-09,32.0,24.25,8.4,2.0
2029,2018-07-10,51.0,23.0,9.2,2.0
2031,2018-07-12,38.0,40.0,13.0,2.0
2032,2018-07-13,43.0,55.0,9.0,2.0
2033,2018-07-14,41.0,45.0,11.0,2.0
2035,2018-07-16,63.0,39.0,5.0,2.0
2036,2018-07-17,46.0,38.51724137931034,5.333333333333333,2.0
2037,2018-07-18,22.0,38.03448275862069,5.666666666666667,2.0
2038,2018-07-19,20.0,37.55172413793103,6.0,2.0
2039,2018-07-20,27.0,37.06896551724138,6.333333333333333,2.0
2040,2018-07-21,13.0,36.58620689655172,6.666666666666667,2.0
2041,2018-07-22,23.0,36.10344827586207,7.0,2.0
2042,2018-07-23,29.0,35.62068965517241,7.333333333333333,2.0
2043,2018-07-24,23.0,35.13793103448276,7.666666666666666,2.0
2044,2018-07-25,15.0,34.6551724137931,8.0,2.0
2045,2018-07-26,21.0,34.172413793103445,8.333333333333334,2.0
2046,2018-07-27,53.0,33.689655172413794,8.666666666666666,2.0
2047,2018-07-28,46.0,33.206896551724135,9.0,2.0
2048,2018-07-29,26.0,32.724137931034484,9.333333333333334,2.0
2049,2018-07-30,39.0,32.241379310344826,9.666666666666666,2.0
2050,2018-07-31,31.0,31.75862068965517,10.0,2.0
2051,2018-08-01,36.0,31.275862068965516,10.333333333333332,2.0
2052,2018-08-02,32.0,30.79310344827586,10.666666666666666,2.0
2053,2018-08-03,31.0,30.310344827586206,11.0,2.0
2054,2018-08-04,20.0,29.82758620689655,11.333333333333332,2.0
2055,2018-08-05,51.0,29.344827586206897,11.666666666666666,2.0
2056,2018-08-06,70.0,28.862068965517242,12.0,2.0
2057,2018-08-07,56.0,28.379310344827587,12.333333333333332,2.0
2058,2018-08-08,53.0,27.89655172413793,12.666666666666666,2.0
2059,2018-08-09,40.0,27.413793103448274,13.0,2.0
2060,2018-08-10,60.0,26.93103448275862,13.333333333333332,2.0
2061,2018-08-11,41.0,26.448275862068964,13.666666666666666,2.0
2062,2018-08-12,31.0,25.96551724137931,14.0,2.0
2063,2018-08-13,23.0,25.482758620689655,14.333333333333332,2.0
2064,2018-08-14,29.0,25.0,14.666666666666666,2.0
2067,2018-08-17,72.0,32.0,11.0,2.0
2068,2018-08-18,63.0,21.0,9.0,2.0
2069,2018-08-19,36.0,22.0,7.0,2.0
2074,2018-08-24,50.0,39.0,8.0,2.0
2075,2018-08-25,36.0,40.0,6.0,2.0
2077,2018-08-27,69.0,19.33823529411765,14.955882352941176,2.0
2080,2018-08-30,34.0,20.352941176470587,14.823529411764707,2.0
2081,2018-08-31,17.0,20.691176470588236,14.779411764705882,2.0
2082,2018-09-01,19.0,21.029411764705884,14.735294117647058,2.0
2083,2018-09-02,32.0,21.36764705882353,14.691176470588236,2.0
2084,2018-09-03,46.0,21.705882352941178,14.647058823529411,2.0
2085,2018-09-04,36.0,22.044117647058822,14.602941176470589,2.0
2086,2018-09-05,46.0,22.38235294117647,14.558823529411764,2.0
2087,2018-09-06,50.0,22.72058823529412,14.514705882352942,2.0
2088,2018-09-07,22.0,23.058823529411764,14.470588235294118,2.0
2089,2018-09-08,18.0,23.397058823529413,14.426470588235293,2.0
2090,2018-09-09,9.0,23.735294117647058,14.382352941176471,2.0
2091,2018-09-10,8.0,24.073529411764707,14.338235294117647,2.0
2092,2018-09-11,52.0,24.411764705882355,14.294117647058824,2.0
2093,2018-09-12,38.0,24.75,14.25,2.0
2094,2018-09-13,18.0,25.08823529411765,14.205882352941176,2.0
2095,2018-09-14,17.0,25.426470588235293,14.161764705882353,2.0
2096,2018-09-15,28.0,25.764705882352942,14.117647058823529,2.0
2097,2018-09-16,37.0,26.102941176470587,14.073529411764707,2.0
2098,2018-09-17,24.0,26.441176470588236,14.029411764705882,2.0
2099,2018-09-18,19.0,26.779411764705884,13.985294117647058,2.0
2100,2018-09-19,36.0,27.11764705882353,13.941176470588236,2.0
2101,2018-09-20,14.0,27.455882352941178,13.897058823529411,2.0
2102,2018-09-21,11.0,27.794117647058822,13.852941176470589,2.0
2103,2018-09-22,19.0,28.13235294117647,13.808823529411764,2.0
2104,2018-09-23,16.0,28.47058823529412,13.76470588235294,2.0
2105,2018-09-24,19.0,28.808823529411764,13.720588235294118,2.0
2106,2018-09-25,19.0,29.147058823529413,13.676470588235293,2.0
2107,2018-09-26,27.0,29.485294117647058,13.632352941176471,2.0
2108,2018-09-27,11.0,29.823529411764707,13.588235294117647,2.0
2109,2018-09-28,18.0,30.161764705882355,13.544117647058824,2.0
2110,2018-09-29,29.0,30.5,13.5,2.0
2111,2018-09-30,20.0,30.83823529411765,13.455882352941176,2.0
2112,2018-04-01,28.0,31.176470588235293,13.411764705882353,2.0
2113,2018-04-02,31.0,31.514705882352942,13.367647058823529,2.0
2114,2018-04-03,25.0,31.85294117647059,13.323529411764707,2.0
2115,2018-04-04,38.0,32.19117647058824,13.279411764705882,2.0
2116,2018-04-05,31.0,32.529411764705884,13.235294117647058,2.0
2117,2018-04-06,40.0,32.86764705882353,13.191176470588236,2.0
2118,2018-04-07,22.0,33.205882352941174,13.147058823529411,2.0
2119,2018-04-08,24.0,33.544117647058826,13.102941176470589,2.0
2120,2018-04-09,30.0,33.88235294117647,13.058823529411764,2.0
2121,2018-04-10,37.0,34.220588235294116,13.01470588235294,2.0
2122,2018-04-11,40.0,34.55882352941177,12.970588235294118,2.0
2123,2018-04-12,55.0,34.89705882352941,12.926470588235293,2.0
2124,2018-04-13,63.0,35.23529411764706,12.882352941176471,2.0
2125,2018-04-14,56.0,35.57352941176471,12.838235294117647,2.0
2126,2018-04-15,15.0,35.911764705882355,12.794117647058824,2.0
2127,2018-04-16,31.0,36.25,12.75,2.0
2128,2018-04-17,23.0,36.588235294117645,12.705882352941176,2.0
2129,2018-04-18,26.0,36.9264705882353,12.661764705882353,2.0
2130,2018-04-19,32.0,37.26470588235294,12.617647058823529,2.0
2131,2018-04-20,29.0,37.60294117647059,12.573529411764707,2.0
2132,2018-04-21,27.0,37.94117647058824,12.529411764705882,2.0
2133,2018-04-22,29.0,38.279411764705884,12.485294117647058,2.0
2134,2018-04-23,58.0,38.61764705882353,12.441176470588236,2.0
2135,2018-04-24,31.0,38.95588235294118,12.397058823529411,2.0
2136,2018-04-25,28.0,39.294117647058826,12.352941176470589,2.0
2137,2018-04-26,38.0,39.63235294117647,12.308823529411764,2.0
2138,2018-04-27,30.0,39.970588235294116,12.26470588235294,2.0
2139,2018-04-28,43.0,40.30882352941177,12.220588235294118,2.0
2140,2018-04-29,28.0,40.64705882352941,12.176470588235293,2.0
2141,2018-04-30,28.0,40.98529411764706,12.132352941176471,2.0
2142,2018-05-01,47.0,41.32352941176471,12.088235294117647,2.0
2143,2018-05-02,53.0,41.661764705882355,12.044117647058822,2.0
2144,2018-05-03,62.0,42.0,12.0,2.0
2145,2018-05-04,56.0,46.0,10.0,2.0
2146,2018-05-05,25.0,39.0,13.0,2.0
2147,2018-05-06,33.0,42.0,16.0,2.0
2148,2018-05-07,36.0,43.0,15.0,2.0
2149,2018-05-08,34.0,32.0,17.0,2.0
2150,2018-05-09,37.0,30.0,9.0,2.0
2151,2018-05-10,24.0,29.916666666666668,9.916666666666666,2.0
2152,2018-05-11,28.0,29.833333333333332,10.833333333333334,2.0
2153,2018-05-12,26.0,29.75,11.75,2.0
2154,2018-05-13,17.0,29.666666666666668,12.666666666666666,2.0
2155,2018-05-14,28.0,29.583333333333332,13.583333333333334,2.0
2156,2018-05-15,52.0,29.5,14.5,2.0
2157,2018-05-16,30.0,29.416666666666668,15.416666666666666,2.0
2158,2018-05-17,42.0,29.333333333333332,16.333333333333332,2.0
2159,2018-05-18,29.0,29.25,17.25,2.0
2160,2018-05-19,21.0,29.166666666666668,18.166666666666668,2.0
2161,2018-05-20,29.0,29.083333333333332,19.083333333333332,2.0
2164,2018-05-23,35.0,60.0,14.0,2.0
2165,2018-05-24,37.0,67.0,12.0,2.0
2167,2018-05-26,61.0,38.0,6.0,2.0
2168,2018-05-27,32.0,22.0,7.0,2.0
2170,2018-05-29,54.0,32.0,8.0,2.0
2171,2018-05-30,33.0,25.0,10.0,2.0
2173,2018-06-01,51.0,45.0,11.0,2.0
2176,2018-06-04,21.0,37.0,12.0,2.0
2180,2018-06-08,43.0,23.11111111111111,9.222222222222221,2.0
2181,2018-06-09,49.0,28.22222222222222,9.444444444444445,2.0
2182,2018-06-10,32.0,33.33333333333333,9.666666666666666,2.0
2183,2018-06-11,23.0,38.44444444444444,9.88888888888889,2.0
2184,2018-06-12,24.0,43.55555555555556,10.11111111111111,2.0
2185,2018-06-13,38.0,48.666666666666664,10.333333333333334,2.0
2186,2018-06-14,27.0,53.77777777777777,10.555555555555555,2.0
2187,2018-06-15,16.0,58.888888888888886,10.777777777777779,2.0
2188,2018-06-16,42.0,64.0,11.0,2.0
2189,2018-06-17,52.0,44.0,8.0,2.0
2190,2018-06-18,63.0,37.0,15.0,2.0
2191,2018-06-19,26.0,36.0,13.0,2.0
2192,2018-06-20,26.0,56.0,20.0,2.0
2195,2018-06-23,29.0,35.0,8.0,2.0
2199,2018-06-27,14.0,30.0,9.0,2.0
2200,2018-06-28,39.0,30.0,12.0,2.0
2203,2018-01-01,54.0,79.95790155440415,14.925925925925926,2.0
2204,2018-01-02,56.0,79.91580310880829,14.851851851851851,2.0
2205,2018-01-03,61.0,79.87370466321244,14.777777777777779,2.0
2206,2018-01-04,44.0,79.83160621761658,14.703703703703704,2.0
2207,2018-01-05,48.0,79.78950777202073,14.62962962962963,2.0
2208,2018-01-06,49.0,79.74740932642487,14.555555555555555,2.0
2209,2018-01-07,51.0,79.70531088082902,14.481481481481481,2.0
2210,2018-01-08,65.0,79.66321243523316,14.407407407407408,2.0
2211,2018-01-09,61.0,79.62111398963731,14.333333333333334,2.0
2212,2018-01-10,54.0,79.57901554404145,14.25925925925926,2.0
2213,2018-01-11,75.0,79.5369170984456,14.185185185185185,2.0
2214,2018-01-12,38.0,79.49481865284974,14.11111111111111,2.0
2215,2018-01-13,46.0,79.45272020725389,14.037037037037036,2.0
2216,2018-01-14,43.0,79.41062176165804,13.962962962962964,2.0
2217,2018-01-15,45.0,79.36852331606218,13.88888888888889,2.0
2218,2018-01-16,57.0,79.32642487046633,13.814814814814815,2.0
